Year,Number of OPT,OPT precentage
2006,7171,12.37
2007,7718,11.11
2008,8212,9.81
2009,23276,21.88
2010,13268,9.92
2011,18394,11.29
2012,23968,12.15
2013,33401,14.76
2014,43114,17.61
2015,52193,20.16
2016,59835,22.07
